"","sp","num","n"
"1","Ammodramus aurifrons",1,21
"2","Arremon aurantiirostris",2,20
"3","Arremonops conirostris",3,46
"4","Atilla spadiceus",4,14
"5","Attila spadiceus",5,196
"6","Automolus infuscatus",6,304
"7","Automolus melanopezus",7,26
"8","Automolus ochrolaemus",8,125
"9","Automolus rubiginosus",9,11
"10","Automolus rufipileatus",10,24
"11","Automolus subulatus",11,82
"12","Baryphthengus martii",12,133
"13","Barypthengus martii",13,24
"14","Bucco capensis",14,12
"15","Bucco macrodactylus",15,41
"16","Cacicus solitarius",16,13
"17","Cacicus uropygialis",17,13
"18","Campylopterus largipennis",18,37
"19","Campylorhamphus procurvoides",19,16
"20","Campylorhamphus trochilirostris",20,33
"21","Cantorchilus leucotis",21,25
"22","Cantorchilus modestus",22,24
"23","Cantorchilus nigricapillus",23,91
"24","Cantorchilus thoracicus",24,48
"25","Catharus fuscater",25,209
"26","Catharus minimus",26,68
"27","Catharus ustulatus",27,107
"28","Celeus elegans",28,15
"29","Ceratopipra erythrocephala",29,154
"30","Ceratopipra mentalis",30,1978
"31","Cercomacroides serva",31,16
"32","Cercomacroides tyrannina",32,23
"33","Certhiasomus stictolaemus",33,63
"34","Chiroxiphia pareola",34,106
"35","Chloroceryle aenea",35,63
"36","Chloroceryle inda",36,42
"37","Chlorothraupis carmioli",37,16
"38","Clibanornis rubiginosus",38,19
"39","Cnipodectes subbrunneus",39,91
"40","Coccyzus americanus",40,13
"41","Conopophaga peruviana",41,122
"42","Contopus cinereus",42,67
"43","Corapipo gutturalis",43,40
"44","Corythopis torquatus",44,106
"45","Cranioleuca gutturata",45,11
"46","Cyanoloxia cyanoides",46,136
"47","Cyanoloxia rothschildii",47,114
"48","Cymbilaimus lineatus",48,12
"49","Cyphorhinus arada",49,77
"50","Cyphorhinus phaeocephalus",50,349
"51","Deconychura longicauda",51,95
"52","Dendrocincla fuliginosa",52,386
"53","Dendrocincla homochroa",53,26
"54","Dendrocincla merula",54,154
"55","Dendrocolaptes certhia",55,40
"56","Dendrocolaptes sanctithomae",56,121
"57","Dendroplex picus",57,17
"58","Dichrozona cincta",58,22
"59","Donacobius atricapilla",59,13
"60","Dysithamnus puncticeps",60,40
"61","Elaenia flavogaster",61,47
"62","Electron platyrhynchum",62,23
"63","Empidonax fulvifrons",63,17
"64","Empidonax virescens",64,39
"65","Epinecrophylla erythrura",65,79
"66","Epinecrophylla fulviventris",66,266
"67","Epinecrophylla gutturalis",67,76
"68","Epinecrophylla haematonota",68,125
"69","Eucometis penicillata",69,170
"70","Euphonia gouldi",70,54
"71","Euphonia xanthogaster",71,40
"72","Formicarius analis",72,303
"73","Formicarius colma",73,156
"74","Frederickena unduliger",74,17
"75","Frederickena viridis",75,19
